1,car,far,star,afar,jar,radar,char,tar,crook,nook,mistook,rook,undertook,chinook,ebook,shook
2,blue,chew,few,kaboo,broom,bum,hum,chum,hit,kit,flit,fit,nit,bit,mit,lip
3,afoot,catfoot,dogfoot,fanfoot,foody,foolery,foolish,fooster,Atlas,Aymoro,Iberic,Mahran,Ormazd,Silipan,altared,chandoo
4,hotfoot,jawfoot,mafoo,nonfood,padfoot,prefool,sfoot,unfool,hebamic,idgah,manlike,marly,palazzi,sixfold,tarrock,unfold
5,Mick,Rick,allocochick,backtrick,bestick,candlestick,counterprick,heartsick,Kickapoo,Nickneven,Rickettsiales,billsticker,borickite,chickell,fickleness,finickily
6,rampick,rebrick,relick,seasick,slick,tick,unsick,upstick,ricksha,rollicking,slapsticky,snickdrawing,sunstricken,tricklingly,unlicked,unnickeled
7,abac,accede,adead,babe,bead,bebed,bedad,bedded,beam,buoy,canjac,chymia,corah,cupula,griece,hafter
8,dade,daff,dead,deed,deface,faded,faff,feed,mucose,relose,sonly,tegua,threap,towned,widish,yite
9,allochirally,anticovenanting,barbary,calelectrical,entablement,ethanethiol,froufrou,furfuryl,anticker,corundum,crabcatcher,damnably,foxtailed,galvanotactic,gummage,gurniad
10,perpera,photophonic,purpuraceous,salpingonasal,testes,trisectrix,undergrounder,untaunted,presumptuously,pylar,rachioparalysis,scherzando,swayed,unbridledness,unupbraidingly,wellside
